variant,start,len,thread,bits,spec,ours,theirs,ours_ok,theirs_ok,agree
u32,0,23,27,0x76543210,0x00543210,0x00543210,0x00543210,1,1,1
u32,0,23,28,0x3fffffff,0x007fffff,0x007fffff,0x007fffff,1,1,1
u32,0,23,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,23,30,0x20202020,0x00202020,0x00202020,0x00202020,1,1,1
u32,0,23,31,0xa5a5a5a5,0x0025a5a5,0x0025a5a5,0x0025a5a5,1,1,1
u32,0,24,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,1,0xffffffff,0x00ffffff,0x00ffffff,0x00ffffff,1,1,1
u32,0,24,2,0xaaaaaaaa,0x00aaaaaa,0x00aaaaaa,0x00aaaaaa,1,1,1
u32,0,24,3,0x55555555,0x00555555,0x00555555,0x00555555,1,1,1
u32,0,24,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,5,0x7fffffff,0x00ffffff,0x00ffffff,0x00ffffff,1,1,1
u32,0,24,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,24,7,0xfffffffe,0x00fffffe,0x00fffffe,0x00fffffe,1,1,1
u32,0,24,8,0xdeadbeef,0x00adbeef,0x00adbeef,0x00adbeef,1,1,1
u32,0,24,9,0xcafebabe,0x00febabe,0x00febabe,0x00febabe,1,1,1
u32,0,24,10,0x12345678,0x00345678,0x00345678,0x00345678,1,1,1
u32,0,24,11,0x87654321,0x00654321,0x00654321,0x00654321,1,1,1
u32,0,24,12,0x000000ff,0x000000ff,0x000000ff,0x000000ff,1,1,1
u32,0,24,13,0xff000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,14,0x0f0f0f0f,0x000f0f0f,0x000f0f0f,0x000f0f0f,1,1,1
u32,0,24,15,0xf0f0f0f0,0x00f0f0f0,0x00f0f0f0,0x00f0f0f0,1,1,1
u32,0,24,16,0x00ff00ff,0x00ff00ff,0x00ff00ff,0x00ff00ff,1,1,1
u32,0,24,17,0xff00ff00,0x0000ff00,0x0000ff00,0x0000ff00,1,1,1
u32,0,24,18,0x33333333,0x00333333,0x00333333,0x00333333,1,1,1
u32,0,24,19,0xcccccccc,0x00cccccc,0x00cccccc,0x00cccccc,1,1,1
u32,0,24,20,0x00000100,0x00000100,0x00000100,0x00000100,1,1,1
u32,0,24,21,0x00000400,0x00000400,0x00000400,0x00000400,1,1,1
u32,0,24,22,0x40000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,23,0x20000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,24,0x01234567,0x00234567,0x00234567,0x00234567,1,1,1
u32,0,24,25,0x89abcdef,0x00abcdef,0x00abcdef,0x00abcdef,1,1,1
u32,0,24,26,0xfedcba98,0x00dcba98,0x00dcba98,0x00dcba98,1,1,1
u32,0,24,27,0x76543210,0x00543210,0x00543210,0x00543210,1,1,1
u32,0,24,28,0x3fffffff,0x00ffffff,0x00ffffff,0x00ffffff,1,1,1
u32,0,24,29,0xc0000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,24,30,0x20202020,0x00202020,0x00202020,0x00202020,1,1,1
u32,0,24,31,0xa5a5a5a5,0x00a5a5a5,0x00a5a5a5,0x00a5a5a5,1,1,1
u32,0,31,0,0x00000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,31,1,0xffffffff,0x7fffffff,0x7fffffff,0x7fffffff,1,1,1
u32,0,31,2,0xaaaaaaaa,0x2aaaaaaa,0x2aaaaaaa,0x2aaaaaaa,1,1,1
u32,0,31,3,0x55555555,0x55555555,0x55555555,0x55555555,1,1,1
u32,0,31,4,0x80000000,0x00000000,0x00000000,0x00000000,1,1,1
u32,0,31,5,0x7fffffff,0x7fffffff,0x7fffffff,0x7fffffff,1,1,1
u32,0,31,6,0x00000001,0x00000001,0x00000001,0x00000001,1,1,1
u32,0,31,7,0xfffffffe,0x7ffffffe,0x7ffffffe,0x7ffffffe,1,1,1
